Date,Open,High,Low,Close,SharesTraded,
20080328 00:00,520100,526100,517900,521200,14434402,
20080331 00:00,521200,531000,516300,526200,16958694,
20080401 00:00,532800,541500,528400,540700,23079128,
20080402 00:00,543100,548900,540000,544500,21293853,
20080403 00:00,542000,551900,539900,549400,22890238,
20080404 00:00,547200,549500,542200,543800,20574448,
20080407 00:00,547900,548000,539100,542000,18426794,
20080408 00:00,540300,548500,539900,544500,14962484,
20080409 00:00,542900,546000,537400,541500,19107272,
20080410 00:00,545600,553100,544300,546600,27285405,
20080411 00:00,542500,551400,541300,548100,19654771,
20080414 00:00,548900,553200,548700,551900,16232067,
20080415 00:00,553500,563100,551900,563000,25384566,
20080416 00:00,564900,571200,563600,570600,26805432,
20080417 00:00,568100,569600,561900,566800,20023297,
20080418 00:00,570000,573500,561400,563000,19154678,
20080421 00:00,560700,564800,557600,563300,13845629,
20080422 00:00,562000,565600,558400,565400,14160606,
20080423 00:00,564400,572700,564000,569200,14265708,
20080424 00:00,570200,576800,570100,574300,18736720,
20080425 00:00,579800,580400,571400,576600,15599727,
20080428 00:00,574000,579400,572100,573600,11806066,
20080429 00:00,574000,588000,574000,586600,16872159,
20080430 00:00,585000,590400,578800,579800,18933889,
20080501 00:00,582000,590900,576600,580800,17145185,
20080502 00:00,584400,586500,569000,575200,18615058,
20080505 00:00,570800,573300,568200,569400,17397741,
20080506 00:00,570500,572400,560400,563600,20136875,
20080507 00:00,562700,568500,560300,567900,24102144,
20080508 00:00,573900,576000,567600,571300,25358240,
20080509 00:00,568000,574800,566100,572000,12752769,
20080512 00:00,576500,583700,576500,581100,17638879,
20080513 00:00,573000,574900,563700,566100,26834613,
20080514 00:00,568800,576000,567300,573800,16375994,
20080515 00:00,575700,575700,566600,571100,15266943,
20080516 00:00,573000,574200,565900,570400,13459886,
20080519 00:00,568500,570500,561600,564400,15303700,
20080520 00:00,561500,563900,554800,559500,19730504,
20080521 00:00,558900,562000,550500,552900,17829721,
20080522 00:00,554700,562100,550900,560500,14480424,
20080523 00:00,557500,559800,554000,557600,12635089,
20080527 00:00,558900,566800,558500,564100,13972485,
20080528 00:00,568300,572400,565600,571400,18735387,
20080529 00:00,569400,581500,569400,579500,17839001,
20080530 00:00,579100,580800,575000,576800,10810261,
20080602 00:00,574300,579900,565200,572100,16551790,
20080603 00:00,577900,580400,573600,578000,16579898,
20080604 00:00,575000,580200,573400,577000,14448987,
20080605 00:00,584700,599000,584100,597800,33685270,
20080606 00:00,593000,595700,583600,583700,22075232,
20080609 00:00,589800,597400,584400,596000,21965874,
20080610 00:00,591600,599500,590500,597800,20392174,
20080611 00:00,596500,596900,584700,584800,19859983,
20080612 00:00,589100,598300,587300,591400,18518380,
20080613 00:00,593500,597500,588600,592200,17256302,
20080616 00:00,586000,593900,585000,592700,16143760,
20080617 00:00,595300,595300,585000,586000,12987885,
20080618 00:00,582100,591300,575900,577200,21403911,
20080619 00:00,576700,582300,573700,577100,20272974,
20080620 00:00,574500,577000,562000,562900,23214103,
20080623 00:00,565000,570000,564300,566600,13747458,
20080624 00:00,563300,578500,562500,573300,18892007,
20080625 00:00,574200,587300,573600,581400,20264935,
20080626 00:00,576000,582600,568500,568500,19510848,
20080627 00:00,566500,573500,558500,563300,21718498,
20080630 00:00,566700,578200,560200,561500,19857853,
20080701 00:00,560300,570700,556100,570500,22029346,
20080702 00:00,575000,577900,564500,564700,19725268,
20080703 00:00,569300,575700,560500,565600,11690244,
20080707 00:00,567500,578700,562000,568800,21307613,
20080708 00:00,572400,592900,571000,590800,30757930,
20080709 00:00,591200,592900,576000,576900,24771076,
20080710 00:00,580500,581200,561200,572100,28356570,
20080711 00:00,568300,573300,556400,563300,26401768,
20080714 00:00,570600,571300,559800,562800,16172627,
20080715 00:00,559800,567900,553400,562300,25747971,
20080716 00:00,560300,571100,556400,569800,24776585,
20080717 00:00,568100,579100,554300,577000,23667285,
20080718 00:00,579000,580600,570600,578800,18986494,
20080721 00:00,579300,583700,570000,573300,14738612,
20080722 00:00,573200,595600,572500,591000,25028218,
20080723 00:00,575000,589800,566900,581100,29736749,
20080724 00:00,580900,581100,568000,569700,20164853,
20080725 00:00,572400,575900,565800,568400,15021437,
20080728 00:00,566600,571900,559500,560200,14751338,
20080729 00:00,567200,575000,560900,574600,16578661,
20080730 00:00,577000,590000,576100,585400,18734748,
20080731 00:00,581000,593700,579100,585900,17541336,
20080801 00:00,587500,587500,573700,577300,16014084,
20080804 00:00,576200,590500,575500,583800,13457580,
20080805 00:00,590600,609900,588300,603400,36441172,
20080806 00:00,601700,610000,597000,607600,23330068,
20080807 00:00,583600,589700,568800,569800,35453934,
20080808 00:00,571300,584800,568200,577600,22226624,
20080811 00:00,578600,598000,573400,584800,23862103,
20080812 00:00,584800,597400,584300,592600,19503300,
20080813 00:00,589300,589400,572300,579600,19942112,
20080814 00:00,575900,589000,568900,581200,25780310,
20080815 00:00,581500,599300,581500,593000,21570263,
20080818 00:00,594700,596000,586300,589000,12047914,
20080819 00:00,584900,588100,578900,582300,14624151,
20080820 00:00,585000,586500,576900,583800,12354071,
20080821 00:00,579300,585900,574900,585600,10922056,
20080822 00:00,587400,595000,587200,594700,12260862,
20080825 00:00,591200,592900,583000,585800,11159477,
20080826 00:00,583600,591800,580400,590200,10361093,
20080827 00:00,589000,598500,585100,592900,11184849,
20080828 00:00,595000,600400,590200,598800,11513073,
20080829 00:00,596200,598800,590700,591100,10567922,
20080902 00:00,599000,609900,595100,596700,22674284,
20080903 00:00,595900,602300,591600,597600,15500379,
20080904 00:00,598000,608900,597000,597500,26317059,
20080905 00:00,594000,608700,590600,607600,22120092,
20080908 00:00,613800,620000,608000,620000,27480897,
20080909 00:00,617500,623600,609100,611500,24633436,
20080910 00:00,613500,624800,612100,620000,22476723,
20080911 00:00,618000,632300,613100,631900,27641399,
20080912 00:00,628700,628700,615800,624500,18007840,
20080915 00:00,612000,625000,611000,616900,24357516,
20080916 00:00,609200,631800,609200,620700,31289281,
20080917 00:00,616800,619800,592200,595700,38178364,
20080918 00:00,605000,616600,591000,613700,40140880,
20080919 00:00,638400,638400,594500,598900,37493184,
20080922 00:00,595000,599200,587600,588500,21446682,
20080923 00:00,591000,599100,583300,584900,20782068,
20080924 00:00,588000,593800,581600,590100,16199039,
20080925 00:00,593400,604700,590200,601500,19997028,
20080926 00:00,591400,609000,590800,606700,19430040,
20080929 00:00,601100,608500,582900,594500,24337432,
20080930 00:00,591800,600000,577400,597800,24389150,
20081001 00:00,596400,603000,589900,596800,22639705,
20081002 00:00,595100,598500,582300,588500,20254792,
20081003 00:00,591200,602200,588900,597500,29313784,
20081006 00:00,586900,591800,545500,583000,37974858,
20081007 00:00,585800,586200,544600,547900,31529768,
20081008 00:00,538500,567700,527500,545700,45084606,
20081009 00:00,551300,552500,497800,515100,38117385,
20081010 00:00,490000,542300,474000,512300,48318998,
